city,state_id,state_name
Gastonia,NC,North Carolina
Salinas,CA,California
Fredericksburg,VA,Virginia
Ontario,CA,California
Elk Grove,CA,California
Gainesville,GA,Georgia
Cary,NC,North Carolina
Rancho Cucamonga,CA,California
Oceanside,CA,California
Garden Grove,CA,California
Lancaster,CA,California
Hemet,CA,California
Pembroke Pines,FL,Florida
Panama City,FL,Florida
Vallejo,CA,California
Manchester,NH,New Hampshire
Medford,OR,Oregon
Bayamón,PR,Puerto Rico
Mauldin,SC,South Carolina
Santa Cruz,CA,California
Palmdale,CA,California
Norwich,CT,Connecticut
Muskegon,MI,Michigan
Leesburg,FL,Florida
High Point,NC,North Carolina
Tuscaloosa,AL,Alabama
Visalia,CA,California
Marysville,WA,Washington
Merced,CA,California
Hayward,CA,California
Lafayette,IN,Indiana
Springfield,IL,Illinois
Corona,CA,California
Paterson,NJ,New Jersey
Alexandria,VA,Virginia
Macon,GA,Georgia
Binghamton,NY,New York
Lakewood,CO,Colorado
Kansas City,KS,Kansas
Odessa,TX,Texas
Sunnyvale,CA,California
New Bedford,MA,Massachusetts
Hollywood,FL,Florida
South Lyon,MI,Michigan
Escondido,CA,California
Lake Charles,LA,Louisiana
Pasadena,TX,Texas
Bellevue,WA,Washington
Joliet,IL,Illinois
Champaign,IL,Illinois
Pomona,CA,California
Fairfield,CA,California
Mesquite,TX,Texas
Elkhart,IN,Indiana
Naperville,IL,Illinois
St. George,UT,Utah
Roseville,CA,California
Topeka,KS,Kansas
Burlington,NC,North Carolina
Warner Robins,GA,Georgia
Surprise,AZ,Arizona
Torrance,CA,California
Santa Maria,CA,California
Athens,GA,Georgia
Houma,LA,Louisiana
Columbia,MO,Missouri
Fullerton,CA,California
Olathe,KS,Kansas
Thornton,CO,Colorado
Greeley,CO,Colorado
Beaumont,TX,Texas
Las Cruces,NM,New Mexico
Midland,TX,Texas
Metairie,LA,Louisiana
Carolina,PR,Puerto Rico
West Valley City,UT,Utah
Orange,CA,California
Warren,MI,Michigan
Grand Junction,CO,Colorado
Tyler,TX,Texas
Pasadena,CA,California
Hampton,VA,Virginia
Bloomington,IL,Illinois
Elizabeth,NJ,New Jersey
Stamford,CT,Connecticut
Yuma,AZ,Arizona
Kent,WA,Washington
Miramar,FL,Florida
Coeur d'Alene,ID,Idaho
Coral Springs,FL,Florida
Sterling Heights,MI,Michigan
Yuba City,CA,California
Yakima,WA,Washington
Carrollton,TX,Texas
Racine,WI,Wisconsin
Johnson City,TN,Tennessee
Billings,MT,Montana
Iowa City,IA,Iowa
Dover,DE,Delaware
Bellingham,WA,Washington
Charleston,WV,West Virginia
Lynchburg,VA,Virginia
Santa Clara,CA,California
Norman,OK,Oklahoma
Greenville,NC,North Carolina
Simi Valley,CA,California
Fort Smith,AR,Arkansas
Abilene,TX,Texas
Arecibo,PR,Puerto Rico
Lewisville,TX,Texas
Pearland,TX,Texas
Lehigh Acres,FL,Florida
Kenosha,WI,Wisconsin
Seaside,CA,California
Burlington,VT,Vermont
Arvada,CO,Colorado
Waldorf,MD,Maryland
Independence,MO,Missouri
Rochester,MN,Minnesota
Logan,UT,Utah
Harlingen,TX,Texas
Berkeley,CA,California
Clovis,CA,California
Round Rock,TX,Texas
Pueblo,CO,Colorado
Temple,TX,Texas
Meridian,ID,Idaho
Duluth,MN,Minnesota
The Woodlands,TX,Texas
Boulder,CO,Colorado
Richardson,TX,Texas
Cambridge,MA,Massachusetts
West Palm Beach,FL,Florida
Port Arthur,TX,Texas
East Los Angeles,CA,California
Redding,CA,California
Clearwater,FL,Florida
Monroe,LA,Louisiana
Utica,NY,New York
St. Cloud,MN,Minnesota
Mandeville,LA,Louisiana
West Jordan,UT,Utah
North Charleston,SC,South Carolina
Richmond,CA,California
Westminster,CO,Colorado
Saginaw,MI,Michigan
Kailua,HI,Hawaii
Brandon,FL,Florida
Ponce,PR,Puerto Rico
Carlsbad,CA,California
Lowell,MA,Massachusetts
Broken Arrow,OK,Oklahoma
Elgin,IL,Illinois
Gresham,OR,Oregon
League City,TX,Texas
Downey,CA,California
Waterloo,IA,Iowa
Murrieta,CA,California
Leominster,MA,Massachusetts
Longview,TX,Texas
Jacksonville,NC,North Carolina
Pompano Beach,FL,Florida
Bend,OR,Oregon
Miami Gardens,FL,Florida
Costa Mesa,CA,California
Sioux City,IA,Iowa
Everett,WA,Washington
Gilroy,CA,California
San Buenaventura,CA,California
Temecula,CA,California
Sugar Land,TX,Texas
Chico,CA,California
Eau Claire,WI,Wisconsin
El Monte,CA,California
Idaho Falls,ID,Idaho
Dearborn,MI,Michigan
Bloomington,IN,Indiana
West Covina,CA,California
Sparks,NV,Nevada
South Fulton,GA,Georgia
Centennial,CO,Colorado
Sandy Springs,GA,Georgia
Inglewood,CA,California
Hillsboro,OR,Oregon
Columbia,MD,Maryland
Burbank,CA,California
Davie,FL,Florida
El Cajon,CA,California
Jurupa Valley,CA,California
Allen,TX,Texas
Auburn,AL,Alabama
Renton,WA,Washington
Holland,MI,Michigan
Brockton,MA,Massachusetts
Rio Rancho,NM,New Mexico
San Mateo,CA,California
Rialto,CA,California
Spokane Valley,WA,Washington
Charlottesville,VA,Virginia
Menifee,CA,California
Daly City,CA,California
Wichita Falls,TX,Texas
Riverview,FL,Florida
Norwalk,CA,California
Lee's Summit,MO,Missouri
Longmont,CO,Colorado
Vacaville,CA,California
Highlands Ranch,CO,Colorado
Kingsport,TN,Tennessee
San Tan Valley,AZ,Arizona
Quincy,MA,Massachusetts
Edinburg,TX,Texas
Lynn,MA,Massachusetts
San Angelo,TX,Texas
Hesperia,CA,California
Bowling Green,KY,Kentucky
Federal Way,WA,Washington
Carmel,IN,Indiana
Bismarck,ND,North Dakota
Fishers,IN,Indiana
Lafayette,CO,Colorado
Vista,CA,California
Boca Raton,FL,Florida
St. Augustine,FL,Florida
Beaverton,OR,Oregon
Goodyear,AZ,Arizona
Portsmouth,VA,Virginia
Orem,UT,Utah
Sunrise,FL,Florida
Portsmouth,NH,New Hampshire
Arden-Arcade,CA,California
Lawrence,KS,Kansas
Sandy,UT,Utah
Slidell,LA,Louisiana
Buckeye,AZ,Arizona
Livonia,MI,Michigan
Williamsburg,VA,Virginia
Suffolk,VA,Virginia
Compton,CA,California
La Crosse,WI,Wisconsin
Edmond,OK,Oklahoma
Carson,CA,California
San Marcos,CA,California
Tracy,CA,California
Prescott Valley,AZ,Arizona
Middletown,OH,Ohio
Fall River,MA,Massachusetts
San Germán,PR,Puerto Rico
Santa Fe,NM,New Mexico
Plantation,FL,Florida
Mayagüez,PR,Puerto Rico
New Braunfels,TX,Texas
Roswell,GA,Georgia
Conroe,TX,Texas
South Gate,CA,California
Santa Monica,CA,California
Kirkland,WA,Washington
Hoover,AL,Alabama
O'Fallon,MO,Missouri
Alafaya,FL,Florida
Palm Coast,FL,Florida
Norwalk,CT,Connecticut
Lawton,OK,Oklahoma
Chino,CA,California
Mount Pleasant,SC,South Carolina
Manteca,CA,California
Westminster,CA,California
Florence,SC,South Carolina
Joplin,MO,Missouri
Germantown,MD,Maryland
San Leandro,CA,California
Town 'n' Country,FL,Florida
Clifton,NJ,New Jersey
Waukegan,IL,Illinois
Bloomington,MN,Minnesota
Avondale,AZ,Arizona
Atascocita,TX,Texas
Missoula,MT,Montana
Fort Myers,FL,Florida
Newton,MA,Massachusetts
Lawrence,MA,Massachusetts
Muncie,IN,Indiana
Rapid City,SD,South Dakota
Troy,MI,Michigan
Livermore,CA,California
Citrus Heights,CA,California
Hawthorne,CA,California
Winchester,VA,Virginia
Springdale,AR,Arkansas
Whittier,CA,California
Deerfield Beach,FL,Florida
Decatur,IL,Illinois
San Ramon,CA,California
Vineland,NJ,New Jersey
Mission,TX,Texas
Auburn,WA,Washington
Lake Forest,CA,California
Newport Beach,CA,California
Melbourne,FL,Florida
Brooklyn Park,MN,Minnesota
Bryan,TX,Texas
Westland,MI,Michigan
Napa,CA,California
Baytown,TX,Texas
Cicero,IL,Illinois
Anderson,IN,Indiana
Franklin,TN,Tennessee
Farmington Hills,MI,Michigan
Buena Park,CA,California
Albany,GA,Georgia
Pine Hills,FL,Florida
State College,PA,Pennsylvania
Redwood City,CA,California
Warwick,RI,Rhode Island
Jackson,MI,Michigan
Cranston,RI,Rhode Island
Largo,FL,Florida
Miami Beach,FL,Florida
Alhambra,CA,California
Johns Creek,GA,Georgia
Mountain View,CA,California
Salisbury,MD,Maryland
Morgantown,WV,West Virginia
Silver Spring,MD,Maryland
Layton,UT,Utah
Springfield,OH,Ohio
Lakewood,CA,California
Florence,AL,Alabama
Folsom,CA,California
Madera,CA,California
New Rochelle,NY,New York
Parma,OH,Ohio
Terre Haute,IN,Indiana
Somerville,MA,Massachusetts
Flagstaff,AZ,Arizona
Boynton Beach,FL,Florida
Homestead,FL,Florida
Newark,OH,Ohio
Plymouth,MN,Minnesota
Anniston,AL,Alabama
Texarkana,TX,Texas
Tustin,CA,California
Pharr,TX,Texas
Port Huron,MI,Michigan
Turlock,CA,California
Rancho Cordova,CA,California
The Villages,FL,Florida
Milpitas,CA,California
Perris,CA,California
Upland,CA,California
Alton,IL,Illinois
Pleasanton,CA,California
Kendall,FL,Florida
Jonesboro,AR,Arkansas
Bellflower,CA,California
Battle Creek,MI,Michigan
Chino Hills,CA,California
Cheyenne,WY,Wyoming
Lebanon,PA,Pennsylvania
Carmichael,CA,California
South Jordan,UT,Utah
Davis,CA,California
Elizabethtown,KY,Kentucky
Schaumburg,IL,Illinois
Alameda,CA,California
Hammond,IN,Indiana
Pasco,WA,Washington
Evanston,IL,Illinois
Lehi,UT,Utah
Alexandria,LA,Louisiana
North Port,FL,Florida
Arlington Heights,IL,Illinois
Camarillo,CA,California
Wyoming,MI,Michigan
Flower Mound,TX,Texas
Bethlehem,PA,Pennsylvania
Hattiesburg,MS,Mississippi
Loveland,CO,Colorado
Pittsburg,CA,California
Cedar Park,TX,Texas
Wenatchee,WA,Washington
Southfield,MI,Michigan
Rochester Hills,MI,Michigan
Hammond,LA,Louisiana
Valdosta,GA,Georgia
Owensboro,KY,Kentucky
Apple Valley,CA,California
Woodbury,MN,Minnesota
Pawtucket,RI,Rhode Island
St. Joseph,MO,Missouri
Doral,FL,Florida
Dover,NH,New Hampshire
Missouri City,TX,Texas
Saratoga Springs,NY,New York
Pocatello,ID,Idaho
Oshkosh,WI,Wisconsin
New Britain,CT,Connecticut
Castle Rock,CO,Colorado
Lauderhill,FL,Florida
Broomfield,CO,Colorado
Dale City,VA,Virginia
Bolingbrook,IL,Illinois
Redmond,WA,Washington
Caguas,PR,Puerto Rico
Mansfield,TX,Texas
Ellicott City,MD,Maryland
Sheboygan,WI,Wisconsin
Mansfield,OH,Ohio
Glens Falls,NY,New York
Daytona Beach,FL,Florida
Lodi,CA,California
Redlands,CA,California
Harrisonburg,VA,Virginia
Dothan,AL,Alabama
Cleveland,TN,Tennessee
Jackson,TN,Tennessee
Mount Vernon,NY,New York
Centreville,VA,Virginia
Altoona,PA,Pennsylvania
Framingham,MA,Massachusetts
Camden,NJ,New Jersey
Georgetown,TX,Texas
Baldwin Park,CA,California
Rocklin,CA,California
Porterville,CA,California
Tamarac,FL,Florida
Glen Burnie,MD,Maryland
Blacksburg,VA,Virginia
Wausau,WI,Wisconsin
Sumter,SC,South Carolina
Janesville,WI,Wisconsin
Brunswick,GA,Georgia
Dublin,CA,California
Wilmington,DE,Delaware
Waukesha,WI,Wisconsin
Fairbanks,AK,Alaska
Lakeville,MN,Minnesota
St. Charles,MO,Missouri
Redondo Beach,CA,California
Spring Hill,TN,Tennessee
Bayonne,NJ,New Jersey
Grand Forks,ND,North Dakota
Noblesville,IN,Indiana
Guaynabo,PR,Puerto Rico
El Paso de Robles,CA,California
North Richland Hills,TX,Texas
Maple Grove,MN,Minnesota
Passaic,NJ,New Jersey
Blaine,MN,Minnesota
Lake Elsinore,CA,California
Rogers,AR,Arkansas
Casas Adobes,AZ,Arizona
Sherman,TX,Texas
Walnut Creek,CA,California
Conway,AR,Arkansas
Eastvale,CA,California
Union City,CA,California
Michigan City,IN,Indiana
Poinciana,FL,Florida
Tulare,CA,California
Gary,IN,Indiana
Gaithersburg,MD,Maryland
East Orange,NJ,New Jersey
Wesley Chapel,FL,Florida
West Des Moines,IA,Iowa
Dalton,GA,Georgia
Dubuque,IA,Iowa
Schenectady,NY,New York
Ankeny,IA,Iowa
Maricopa,AZ,Arizona
Eagan,MN,Minnesota
Hanford,CA,California
Bristol,TN,Tennessee
Yorba Linda,CA,California
Weston,FL,Florida
Watsonville,CA,California
Palo Alto,CA,California
South Hill,WA,Washington
Shawnee,KS,Kansas
San Marcos,TX,Texas
Great Falls,MT,Montana
Haverhill,MA,Massachusetts
Union City,NJ,New Jersey
Palatine,IL,Illinois
Longview,WA,Washington
Corvallis,OR,Oregon
Rockville,MD,Maryland
Skokie,IL,Illinois
Mount Vernon,WA,Washington
Casper,WY,Wyoming
Ames,IA,Iowa
Delray Beach,FL,Florida
Sammamish,WA,Washington
Lynwood,CA,California
Dundalk,MD,Maryland
Bethesda,MD,Maryland
Morristown,TN,Tennessee
Juana Díaz,PR,Puerto Rico
Kankakee,IL,Illinois
Fajardo,PR,Puerto Rico
Alpharetta,GA,Georgia
Novi,MI,Michigan
Kenner,LA,Louisiana
Bay City,MI,Michigan
Victoria,TX,Texas
South San Francisco,CA,California
Apex,NC,North Carolina
Parkersburg,WV,West Virginia
Malden,MA,Massachusetts
Castro Valley,CA,California
Bozeman,MT,Montana
Brentwood,NY,New York
Waltham,MA,Massachusetts
Pflugerville,TX,Texas
North Little Rock,AR,Arkansas
Brentwood,CA,California
Laguna Niguel,CA,California
San Clemente,CA,California
Burnsville,MN,Minnesota
Spring,TX,Texas
Port Charlotte,FL,Florida
Eden Prairie,MN,Minnesota
Greenwood,IN,Indiana
Millcreek,UT,Utah
Bellevue,NE,Nebraska
Coon Rapids,MN,Minnesota
Rowlett,TX,Texas
Hamilton,OH,Ohio
Lakewood,WA,Washington
Florence-Graham,CA,California
Commerce City,CO,Colorado
Bossier City,LA,Louisiana
Taylor,MI,Michigan
La Habra,CA,California
Port Orange,FL,Florida
Moore,OK,Oklahoma
Council Bluffs,IA,Iowa
Leander,TX,Texas
Dearborn Heights,MI,Michigan
Reston,VA,Virginia
Montebello,CA,California
Pontiac,MI,Michigan
Encinitas,CA,California
Queen Creek,AZ,Arizona
Medford,MA,Massachusetts
Springfield,OR,Oregon
Hendersonville,TN,Tennessee
Palm Harbor,FL,Florida
Pico Rivera,CA,California
Marietta,GA,Georgia
Wellington,FL,Florida
Sanford,FL,Florida
Woodland,CA,California
Caldwell,ID,Idaho
Huntersville,NC,North Carolina
Bristol,CT,Connecticut
Jupiter,FL,Florida
San Rafael,CA,California
La Mesa,CA,California
Richland,WA,Washington
Revere,MA,Massachusetts
Meriden,CT,Connecticut
Monterey Park,CA,California
Gardena,CA,California
Euless,TX,Texas
Des Plaines,IL,Illinois
West Allis,WI,Wisconsin
North Miami,FL,Florida
St. Cloud,FL,Florida
The Hammocks,FL,Florida
Cupertino,CA,California
Taylorsville,UT,Utah
Petaluma,CA,California
Kokomo,IN,Indiana
Santee,CA,California
Stonecrest,GA,Georgia
Taunton,MA,Massachusetts
White Plains,NY,New York
Palm Beach Gardens,FL,Florida
Chapel Hill,NC,North Carolina
Hoboken,NJ,New Jersey
Parker,CO,Colorado
Blue Springs,MO,Missouri
Shoreline,WA,Washington
St. Clair Shores,MI,Michigan
Horizon West,FL,Florida
Margate,FL,Florida
Orland Park,IL,Illinois
Carson City,NV,Nevada
Midwest City,OK,Oklahoma
Royal Oak,MI,Michigan
Bowie,MD,Maryland
Kettering,OH,Ohio
St. Peters,MO,Missouri
Oak Lawn,IL,Illinois
Towson,MD,Maryland
Coconut Creek,FL,Florida
Decatur,AL,Alabama
Lenexa,KS,Kansas
Bartlett,TN,Tennessee
South Whittier,CA,California
Lake Havasu City,AZ,Arizona
Bel Air South,MD,Maryland
Fountainebleau,FL,Florida
Wylie,TX,Texas
Madison,AL,Alabama
Brookhaven,GA,Georgia
Highland,CA,California
Fountain Valley,CA,California
Berwyn,IL,Illinois
Severn,MD,Maryland
Albany,OR,Oregon
National City,CA,California
Lacey,WA,Washington
Mount Prospect,IL,Illinois
Arcadia,CA,California
DeSoto,TX,Texas
Smyrna,GA,Georgia
Bradenton,FL,Florida
New Brunswick,NJ,New Jersey
Apple Valley,MN,Minnesota
Tinley Park,IL,Illinois
Sarasota,FL,Florida
Hacienda Heights,CA,California
Chicopee,MA,Massachusetts
West Haven,CT,Connecticut
Herriman,UT,Utah
Perth Amboy,NJ,New Jersey
Casa Grande,AZ,Arizona
Tigard,OR,Oregon
Apopka,FL,Florida
Southaven,MS,Mississippi
Huntington Park,CA,California
Diamond Bar,CA,California
Bentonville,AR,Arkansas
Yucaipa,CA,California
Plainfield,NJ,New Jersey
Manhattan,KS,Kansas
Aspen Hill,MD,Maryland
Rocky Mount,NC,North Carolina
Peabody,MA,Massachusetts
West Sacramento,CA,California
San Jacinto,CA,California
Kentwood,MI,Michigan
Colton,CA,California
Oak Park,IL,Illinois
Westchester,FL,Florida
Smyrna,TN,Tennessee
Wheaton,IL,Illinois
Beaumont,CA,California
Aloha,OR,Oregon
Minnetonka,MN,Minnesota
Pinellas Park,FL,Florida
Kannapolis,NC,North Carolina
Paramount,CA,California
Texas City,TX,Texas
Novato,CA,California
Edina,MN,Minnesota
Normal,IL,Illinois
Tamiami,FL,Florida
Grand Island,NE,Nebraska
Methuen Town,MA,Massachusetts
Elyria,OH,Ohio
Wheaton,MD,Maryland
Kendale Lakes,FL,Florida
Marana,AZ,Arizona
West New York,NJ,New Jersey
Twin Falls,ID,Idaho
Florissant,MO,Missouri
Glendora,CA,California
Cathedral City,CA,California
Aliso Viejo,CA,California
Placentia,CA,California
Hoffman Estates,IL,Illinois
Burien,WA,Washington
Dunwoody,GA,Georgia
Palm Desert,CA,California
Troy,NY,New York
Collierville,TN,Tennessee
Levittown,PA,Pennsylvania
Rosemead,CA,California
Country Club,FL,Florida
Enid,OK,Oklahoma
Cuyahoga Falls,OH,Ohio
Mishawaka,IN,Indiana
Columbus,IN,Indiana
Summerville,SC,South Carolina
Levittown,NY,New York
Grapevine,TX,Texas
Covina,CA,California
Milford city ,CT,Connecticut
Draper,UT,Utah
Lakewood,OH,Ohio
Catalina Foothills,AZ,Arizona
Delano,CA,California
Lincoln,CA,California
Murray,UT,Utah
Mooresville,NC,North Carolina
Downers Grove,IL,Illinois
Florin,CA,California
Cypress,CA,California
Jeffersonville,IN,Indiana
North Bethesda,MD,Maryland
Azusa,CA,California
Coral Gables,FL,Florida
Chesterfield,MO,Missouri
McLean,VA,Virginia
St. Louis Park,MN,Minnesota
East Honolulu,HI,Hawaii
Bedford,TX,Texas
Euclid,OH,Ohio
Lawrence,IN,Indiana
Ceres,CA,California
University,FL,Florida
Biloxi,MS,Mississippi
El Dorado Hills,CA,California
Cerritos,CA,California
Burleson,TX,Texas
Portage,MI,Michigan
Dublin,OH,Ohio
Poway,CA,California
Cedar Hill,TX,Texas
Everett,MA,Massachusetts
Stillwater,OK,Oklahoma
Titusville,FL,Florida
Niagara Falls,NY,New York
Kyle,TX,Texas
Leesburg,VA,Virginia
Westfield,IN,Indiana
Little Elm,TX,Texas
Middletown,CT,Connecticut
North Highlands,CA,California
Tuckahoe,VA,Virginia
Wake Forest,NC,North Carolina
Minot,ND,North Dakota
Roswell,NM,New Mexico
Wauwatosa,WI,Wisconsin
Bothell,WA,Washington
Glenview,IL,Illinois
Rockwall,TX,Texas
Wilson,NC,North Carolina
Rancho Santa Margarita,CA,California
La Mirada,CA,California
Antelope,CA,California
Hilo,HI,Hawaii
San Luis Obispo,CA,California
Roseville,MI,Michigan
Newark,CA,California
Mentor,OH,Ohio
Ocoee,FL,Florida
Rowland Heights,CA,California
Fort Pierce,FL,Florida
Brea,CA,California
Oro Valley,AZ,Arizona
East Providence,RI,Rhode Island
Pearl City,HI,Hawaii
Salina,KS,Kansas
Beavercreek,OH,Ohio
Winter Garden,FL,Florida
Potomac,MD,Maryland
Farmington,NM,New Mexico
Attleboro,MA,Massachusetts
Huntsville,TX,Texas
Strongsville,OH,Ohio
Eagle Mountain,UT,Utah
Prescott,AZ,Arizona
Olive Branch,MS,Mississippi
Goose Creek,SC,South Carolina
Sicklerville,NJ,New Jersey
Altamonte Springs,FL,Florida
Haltom City,TX,Texas
Hackensack,NJ,New Jersey
Elmhurst,IL,Illinois
Urbandale,IA,Iowa
Los Banos,CA,California
Littleton,CO,Colorado
Ashburn,VA,Virginia
East Lansing,MI,Michigan
Bountiful,UT,Utah
Keller,TX,Texas
Morgan Hill,CA,California
Sierra Vista,AZ,Arizona
Sayreville,NJ,New Jersey
Odenton,MD,Maryland
Cleveland Heights,OH,Ohio
Gallatin,TN,Tennessee
Plainfield,IL,Illinois
Palm Springs,CA,California
Riverton,UT,Utah
West Lafayette,IN,Indiana
Brentwood,TN,Tennessee
Cutler Bay,FL,Florida
Lake Ridge,VA,Virginia
Whitney,NV,Nevada
